left,right
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.2,0.2
0.3,0.3
0.6,0.6
0.6,0.6
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.4,0.4
0.6,0.6
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.04,0.2
0.4,0.4
0.4,0.4
0.4,0.4
1,1
1.6,1.6
2.4,2.4
5.4,5.4
7,7
