"","LI_mumaxLN25"
"1",7.92108178204198
"2",6.48335118461655
"3",7.75831982761646
"4",10.3353841060205
"5",10.0912411743822
"6",11.1763208705524
"7",3.44512803534018
"8",5.50677945806343
"9",6.40197020740379
"10",7.26141367271828
"11",7.43211598328851
"12",7.15636609698276
"13",7.85230628623062
"14",6.06649749872667
"15",7.73412776352815
"16",6.17154507446219
"17",7.07758041518111
"18",3.62414136287567
"19",8.95190749340361
"20",12.3699085363395
"21",8.73489155416958
"22",10.7151619996801
"23",10.9050509465098
"24",11.4475907945949
"25",6.23920825297827
"26",10.1454951591908
"27",7.43279591876542
"28",6.15841412749525
"29",8.03613954376779
"30",7.49777071812322
"31",7.76038965746203
"32",7.19575893788358
"33",5.80387855938785
"34",5.88266424118949
"35",6.90687810461088
"36",3.02011780239639
"37",10.7694159844886
"38",9.08754245542487
"39",9.41306636427591
"40",11.99013064268
"41",10.5524000452546
"42",9.76571726553121
"43",8.27373268329727
"44",4.66584269353158
"45",7.59555787319094
"46",6.97253283944558
"47",8.1674490134372
"48",7.1694970439497
"49",6.2371998092969
"50",7.8785681801645
"51",7.5896873468918
"52",5.0160217413714
"53",8.35128227097437
"54",5.68570003668538
