"Lot","Baseline_CRR"
1,0.3305
2,0.3304
3,0.339
4,0.3396
5,0.3372
6,0.3331
7,0.3272
8,0.3398
9,0.3375
10,0.3326
11,0.3352
12,0.3363
13,0.3383
14,0.3249
15,0.3392
16,0.3357
17,0.3223
18,0.3359
19,0.3345
20,0.3322
21,0.3337
22,0.3368
23,0.3323
24,0.33
25,0.3374
26,0.3331
27,0.331
28,0.3286
29,0.3343
30,0.337
31,0.332
32,0.3358
33,0.3352
34,0.3323
35,0.3318
36,0.3371
37,0.3404
38,0.3398
39,0.3389
40,0.3418
41,0.333
42,0.3357
43,0.3278
44,0.336
45,0.3287
46,0.3332
47,0.3342
48,0.3327
49,0.33
50,0.333
51,0.3373
52,0.3282
53,0.3271
54,0.3301
55,0.3358
56,0.3361
57,0.3305
58,0.3309
59,0.3397
60,0.3411
61,0.3259
62,0.3284
63,0.3401
64,0.3323
65,0.3243
66,0.3299
67,0.3381
68,0.3365
69,0.3426
70,0.3406
71,0.3382
72,0.3297
73,0.3328
74,0.3208
75,0.3262
76,0.3302
77,0.3351
78,0.333
79,0.3351
80,0.3368
81,0.3363
82,0.3345
83,0.3361
84,0.3363
85,0.3319
86,0.342
87,0.3294
88,0.3324
89,0.3302
90,0.3336
91,0.3286
92,0.3315
93,0.3379
94,0.3339
95,0.3274
96,0.3301
97,0.3363
98,0.3254
99,0.3332
100,0.3361
101,0.3343
102,0.3361
103,0.3316
104,0.3299
105,0.3371
106,0.3355
107,0.3253
108,0.3366
109,0.3386
110,0.3402
111,0.3341
112,0.3356
113,0.3382
114,0.3325
115,0.34
116,0.3377
117,0.3345
118,0.3369
119,0.3376
120,0.3307
121,0.3394
122,0.3348
123,0.338
124,0.3383
125,0.3367
126,0.3361
127,0.3311
128,0.3351
129,0.3358
130,0.3322
131,0.3349
132,0.3407
133,0.3314
134,0.3363
135,0.3337
136,0.3356
137,0.3389
138,0.3318
139,0.3449
140,0.3365
141,0.3313
142,0.3443
143,0.3321
144,0.3405
145,0.3412
146,0.3314
147,0.3344
148,0.3407
149,0.3331
150,0.3221
151,0.3274
152,0.3253
153,0.3393
154,0.329
155,0.3334
156,0.3365
157,0.3344
158,0.3283
159,0.3287
160,0.3354
161,0.3383
162,0.3286
163,0.334
164,0.3327
165,0.3282
166,0.3424
167,0.3345
168,0.3251
169,0.3387
170,0.3463
171,0.3312
172,0.3323
173,0.3377
174,0.3322
175,0.3389
176,0.3334
177,0.3324
178,0.3357
179,0.3323
180,0.3373
181,0.3394
182,0.3288
183,0.3356
184,0.3382
185,0.3265
186,0.3439
187,0.3315
188,0.3282
189,0.3277
190,0.3308
191,0.3297
192,0.3352
193,0.3426
194,0.3357
195,0.3238
196,0.3424
197,0.3355
198,0.3374
199,0.334
200,0.3375
201,0.3349
202,0.3325
203,0.3327
204,0.3345
205,0.3343
206,0.3329
207,0.3341
208,0.3321
209,0.3385
210,0.3309
211,0.3353
212,0.3304
213,0.336
214,0.3379
215,0.3301
216,0.3344
217,0.3369
218,0.331
219,0.3324
220,0.3319
221,0.3417
222,0.334
223,0.3311
224,0.3303
225,0.3402
226,0.3317
227,0.3326
228,0.3389
229,0.3352
230,0.338
231,0.3301
232,0.3366
233,0.3422
234,0.3366
235,0.3258
236,0.3275
237,0.3297
238,0.3386
239,0.3304
240,0.3301
241,0.3347
242,0.3332
243,0.3341
244,0.3341
245,0.3322
246,0.3359
247,0.3399
248,0.3317
249,0.3356
250,0.3279
251,0.3352
252,0.3367
253,0.3354
254,0.3331
255,0.3331
256,0.333
257,0.3399
258,0.3368
259,0.3245
260,0.3333
261,0.3341
262,0.3386
263,0.3314
264,0.3327
265,0.3327
266,0.3397
267,0.3339
268,0.3428
269,0.3277
270,0.3295
271,0.3327
272,0.3305
273,0.3377
274,0.3292
275,0.339
276,0.3402
277,0.3312
278,0.3421
279,0.3331
280,0.3339
281,0.332
282,0.3276
283,0.3394
284,0.3309
285,0.3247
286,0.3295
287,0.3326
288,0.3428
289,0.3307
290,0.3409
291,0.3374
292,0.3358
293,0.3281
294,0.3374
295,0.3321
296,0.3314
297,0.3269
298,0.33
299,0.336
300,0.3347
301,0.3307
302,0.3353
303,0.3394
304,0.3334
305,0.3316
306,0.3304
307,0.3308
308,0.3319
309,0.3335
310,0.3375
311,0.3386
312,0.3376
313,0.3384
314,0.3303
315,0.3282
316,0.3431
317,0.33
318,0.3312
319,0.3342
320,0.3246
321,0.3275
322,0.3304
323,0.3333
324,0.324
325,0.3335
326,0.3328
327,0.3398
328,0.3322
329,0.3339
330,0.3342
331,0.338
332,0.3314
333,0.3396
334,0.333
335,0.3263
336,0.3333
337,0.3357
338,0.3321
339,0.3406
340,0.3308
341,0.3346
342,0.3287
343,0.3306
344,0.3359
345,0.3316
346,0.332
347,0.3311
348,0.3349
349,0.3337
350,0.3348
351,0.3298
352,0.3331
353,0.3367
354,0.3369
355,0.3374
356,0.3341
357,0.3315
358,0.3297
359,0.3384
360,0.3343
361,0.3265
362,0.3371
363,0.337
364,0.3398
365,0.3339
366,0.3336
367,0.3332
368,0.3366
369,0.3286
370,0.3312
371,0.3346
372,0.3389
373,0.3355
374,0.3364
375,0.3282
376,0.3363
377,0.333
378,0.3352
379,0.3373
380,0.3341
381,0.3325
382,0.3357
383,0.3328
384,0.3363
385,0.3319
386,0.3329
387,0.3379
388,0.3294
389,0.325
390,0.3293
391,0.3383
392,0.3284
393,0.3339
394,0.3355
395,0.338
396,0.3313
397,0.3423
398,0.3244
399,0.3381
400,0.3333
401,0.3478
402,0.3305
403,0.3405
404,0.341
405,0.3374
406,0.3415
407,0.3291
408,0.3358
409,0.3285
410,0.3432
411,0.3368
412,0.3308
413,0.3387
414,0.3292
415,0.3339
416,0.3399
417,0.3325
418,0.3289
419,0.3408
420,0.3386
421,0.3338
422,0.3312
423,0.3339
424,0.3309
425,0.3329
426,0.3402
427,0.3363
428,0.3327
429,0.3341
430,0.3293
431,0.3318
432,0.3408
433,0.3343
434,0.3323
435,0.3298
436,0.3392
437,0.3307
438,0.3347
439,0.3356
440,0.3338
441,0.334
442,0.323
443,0.3403
444,0.3336
445,0.3387
446,0.3319
447,0.3283
448,0.3391
449,0.3359
450,0.33
451,0.3359
452,0.3365
453,0.3306
454,0.3361
455,0.3365
456,0.3325
457,0.3299
458,0.3321
459,0.3399
460,0.3329
461,0.3327
462,0.3432
463,0.3321
464,0.331
465,0.3292
466,0.3275
467,0.341
468,0.3421
469,0.3339
470,0.3276
471,0.3438
472,0.3349
473,0.3371
474,0.3292
475,0.328
476,0.3403
477,0.3371
478,0.339
479,0.3404
480,0.337
481,0.3287
482,0.3309
483,0.3335
484,0.3269
485,0.3371
486,0.3336
487,0.3427
488,0.341
489,0.3417
490,0.3292
491,0.3375
492,0.3355
493,0.3356
494,0.3285
495,0.3393
496,0.3368
497,0.3366
498,0.3347
499,0.3331
500,0.3334
501,0.3304
502,0.338
503,0.3372
504,0.3416
505,0.3369
506,0.3352
507,0.3356
508,0.3379
509,0.3255
510,0.3384
511,0.334
512,0.3329
513,0.3439
514,0.3378
515,0.3245
516,0.3276
517,0.3353
518,0.3372
519,0.3427
520,0.3339
521,0.3338
522,0.3304
523,0.3341
524,0.3322
525,0.3307
526,0.3341
527,0.3348
528,0.3368
529,0.3313
530,0.3384
531,0.3404
532,0.3361
533,0.3352
534,0.3346
535,0.3289
536,0.3351
537,0.3288
538,0.3308
539,0.3284
540,0.3344
541,0.3322
542,0.3356
543,0.3299
544,0.3303
545,0.3339
546,0.3364
547,0.3316
548,0.3351
549,0.3396
550,0.3396
551,0.3309
552,0.3414
553,0.3383
554,0.3383
555,0.3362
556,0.34
557,0.3304
558,0.3286
559,0.3375
560,0.3292
561,0.3329
562,0.3321
563,0.3326
564,0.3358
565,0.3446
566,0.3388
567,0.338
568,0.3272
569,0.3386
570,0.3364
571,0.3344
572,0.3343
573,0.3368
574,0.3357
575,0.3377
576,0.3383
577,0.3325
578,0.3331
579,0.3367
580,0.3333
581,0.3394
582,0.3259
583,0.3346
584,0.3331
585,0.3394
586,0.3388
587,0.334
588,0.3384
589,0.34
590,0.3396
591,0.3294
592,0.3268
593,0.3395
594,0.335
595,0.339
596,0.3371
597,0.3314
598,0.3351
599,0.3414
600,0.3447
601,0.327
602,0.333
603,0.3315
604,0.333
605,0.3276
606,0.3332
607,0.3367
608,0.3381
609,0.3489
610,0.3269
611,0.3271
612,0.3455
613,0.3365
614,0.3301
615,0.3372
616,0.3273
617,0.3372
618,0.3354
619,0.3403
620,0.3265
621,0.3358
622,0.3364
623,0.3297
624,0.3327
625,0.3405
626,0.3342
627,0.3215
628,0.3421
629,0.3385
630,0.3326
631,0.3363
632,0.342
633,0.343
634,0.3305
635,0.3203
636,0.3365
637,0.3315
638,0.3474
639,0.3302
640,0.332
641,0.3363
642,0.3302
643,0.3297
644,0.3191
645,0.3387
646,0.3353
647,0.3281
648,0.3283
649,0.337
650,0.3344
651,0.3366
652,0.3326
653,0.3329
654,0.3445
655,0.3354
656,0.3267
657,0.3273
658,0.329
659,0.3329
660,0.3341
661,0.3444
662,0.3328
663,0.3377
664,0.335
665,0.3281
666,0.3343
667,0.3254
668,0.3307
669,0.3357
670,0.3312
671,0.3336
672,0.3366
673,0.3289
674,0.3337
