"Lot","LOG10Nmax","Var_LOG10Nmax_CRR"
1,9.12523819557391,0.3305
2,9.24805811768652,0.3304
3,8.51961367044864,0.339
4,8.96988906317223,0.3396
5,8.91734858478266,0.3372
6,9.05609015332268,0.3331
7,8.69168018651352,0.3272
8,8.87842421187804,0.3398
9,8.88097181021291,0.3375
10,9.13192809045829,0.3326
11,9.03777279639487,0.3352
12,9.18437410016547,0.3363
13,9.48234957947449,0.3383
14,9.33128808620417,0.3249
15,9.17989176948979,0.3392
16,8.88208138159949,0.3357
17,9.27881325723062,0.3223
18,8.56643985634054,0.3359
19,9.39241268969795,0.3345
20,8.79629598227879,0.3322
21,9.23767106955014,0.3337
22,9.29455510314923,0.3368
23,8.84843422668988,0.3323
24,9.35040229638709,0.33
25,8.96383916123558,0.3374
26,8.34594762365652,0.3331
27,9.17779697420625,0.331
28,8.80180389693926,0.3286
29,8.94706733318731,0.3343
30,9.30045676771297,0.337
31,9.27241590300862,0.332
32,9.25387736666478,0.3358
33,9.05068514113487,0.3352
34,9.13657138766515,0.3323
35,9.11293679382599,0.3318
36,9.12356569441265,0.3371
37,8.4043126366499,0.3404
38,8.82602106980648,0.3398
39,8.49745021312924,0.3389
40,8.84113972225916,0.3418
41,8.88415664157978,0.333
42,9.30793663284163,0.3357
43,9.19343016084787,0.3278
44,9.01377380698996,0.336
45,8.03487117947716,0.3287
46,9.09369470308447,0.3332
47,9.10824873685648,0.3342
48,8.62000604536563,0.3327
49,9.40926062084677,0.33
50,9.04301999848733,0.333
51,9.2985475715082,0.3373
52,9.04510812186291,0.3282
53,9.26527015669078,0.3271
54,8.80949375216552,0.3301
55,8.75755384426189,0.3358
56,8.09945623232393,0.3361
57,9.23107393729302,0.3305
58,9.21022105738597,0.3309
59,9.10157638458178,0.3397
60,9.33321250638873,0.3411
61,8.67111646991451,0.3259
62,8.9111318590729,0.3284
63,9.20165369130784,0.3401
64,9.15451807971294,0.3323
65,8.4240482123523,0.3243
66,8.53325621216991,0.3299
67,8.82160491937094,0.3381
68,8.712980713099,0.3365
69,9.16382162404855,0.3426
70,8.89046369322445,0.3406
71,8.93422572681504,0.3382
72,8.5439480250207,0.3297
73,9.16190100258232,0.3328
74,9.0993858708176,0.3208
75,8.80605443050063,0.3262
76,9.08554388496342,0.3302
77,9.29732146341714,0.3351
78,9.2911373067387,0.333
79,9.13923226200401,0.3351
80,9.121072798606,0.3368
81,9.19110419739347,0.3363
82,9.11183595898037,0.3345
83,8.74218418149071,0.3361
84,9.188315526782,0.3363
85,9.39434956879752,0.3319
86,9.47362875877636,0.342
87,8.7662755838995,0.3294
88,9.05548431648363,0.3324
89,8.95039266108309,0.3302
90,9.21898594925642,0.3336
91,9.17459442215605,0.3286
92,9.34050499797162,0.3315
93,9.08127537457748,0.3379
94,9.19830097810935,0.3339
95,8.79829384517178,0.3274
96,9.3225751375013,0.3301
97,9.23599351198913,0.3363
98,9.34957878420257,0.3254
99,9.26365668420997,0.3332
100,9.07004128848508,0.3361
101,9.37497632241286,0.3343
102,8.93545551024707,0.3361
103,8.90816016945249,0.3316
104,8.93434045990487,0.3299
105,8.60075904988813,0.3371
106,9.24751408818429,0.3355
107,9.28023845974058,0.3253
108,8.96144800383492,0.3366
109,8.64929243590195,0.3386
110,9.02392542473669,0.3402
111,8.76357041703098,0.3341
112,8.91371860570636,0.3356
113,9.03333530600621,0.3382
114,8.71570634988511,0.3325
115,9.10972510317904,0.34
116,8.61484963294179,0.3377
117,8.72418881098858,0.3345
118,8.4743153602859,0.3369
119,9.28970214826272,0.3376
120,9.28491998962631,0.3307
121,9.07454245544663,0.3394
122,9.2162870966726,0.3348
123,9.22016433235827,0.338
124,9.16460346735852,0.3383
125,8.72568190714536,0.3367
126,8.75394946638246,0.3361
127,8.6510538271985,0.3311
128,9.17867872727338,0.3351
129,9.07713385961148,0.3358
130,8.53070891338403,0.3322
131,8.94450000004502,0.3349
132,8.74082635657841,0.3407
133,9.24486786462239,0.3314
134,9.31599456679417,0.3363
135,8.96587939199693,0.3337
136,9.09296052001042,0.3356
137,9.36398922465257,0.3389
138,9.09134223427067,0.3318
139,8.78990953011755,0.3449
140,9.25607710219329,0.3365
141,9.02203393649799,0.3313
142,8.94009221428073,0.3443
143,8.57812024089677,0.3321
144,8.95730595739658,0.3405
145,8.07115663644185,0.3412
146,9.12193645220239,0.3314
147,9.05801053624944,0.3344
148,8.86996274722096,0.3407
149,9.00499739539497,0.3331
150,9.07498729878474,0.3221
151,8.63465586014032,0.3274
152,9.16732312799275,0.3253
153,8.58430646247625,0.3393
154,9.03237071830591,0.329
155,9.15832544455768,0.3334
156,8.78749298816016,0.3365
157,9.28326874142444,0.3344
158,9.43621419139048,0.3283
159,8.98652771273091,0.3287
160,9.09048724889443,0.3354
161,8.84719865352618,0.3383
162,8.93170643126858,0.3286
163,8.58089572122173,0.334
164,9.30112100275651,0.3327
165,9.19490356474466,0.3282
166,8.88748544988313,0.3424
167,8.41486217836006,0.3345
168,8.57043636525013,0.3251
169,8.98208500547438,0.3387
170,8.94090130479089,0.3463
171,9.11876832563465,0.3312
172,8.67600197286708,0.3323
173,8.56252762685167,0.3377
174,9.35253429856849,0.3322
175,9.08986992764694,0.3389
176,9.06123245323456,0.3334
177,8.82028518865079,0.3324
178,8.95107861990255,0.3357
179,8.41239427245337,0.3323
180,9.06509700097217,0.3373
181,9.13095164273094,0.3394
182,9.22148533185106,0.3288
183,9.03985889846177,0.3356
184,8.88381589836859,0.3382
185,8.65574555257373,0.3265
186,9.38950798301544,0.3439
187,8.50240737506966,0.3315
188,8.79105519628781,0.3282
189,8.73240071350831,0.3277
190,9.38180483258939,0.3308
191,8.92829217400606,0.3297
192,9.35568349856723,0.3352
193,9.37871095462109,0.3426
194,9.09093583023926,0.3357
195,8.85846310971452,0.3238
196,8.78489801053971,0.3424
197,9.07777627585542,0.3355
198,9.22137567897136,0.3374
199,9.1974822649536,0.334
200,9.19174352752614,0.3375
201,9.08886855452997,0.3349
202,9.14484256946932,0.3325
203,9.07833256372602,0.3327
204,8.68872336295044,0.3345
205,9.36251149852836,0.3343
206,9.18534225655596,0.3329
207,8.69717578502079,0.3341
208,8.79309155422125,0.3321
209,9.00540972802434,0.3385
210,9.10440849186619,0.3309
211,9.08077129163832,0.3353
212,8.87281029059818,0.3304
