"Lot","WI_Nisin10_CRR"
1,0.0591
2,0.0431
3,0.045
4,0.0458
5,0.0383
6,0.0508
7,0.0523
8,0.0478
9,0.0492
10,0.0549
11,0.0495
12,0.0544
13,0.0422
14,0.0475
15,0.0542
16,0.0509
17,0.0425
18,0.0426
19,0.0391
20,0.053
21,0.0488
22,0.063
23,0.064
24,0.0487
25,0.0515
26,0.0598
27,0.0443
28,0.049
29,0.0532
30,0.0618
31,0.0477
32,0.0419
33,0.0532
34,0.0464
35,0.0458
36,0.0591
37,0.0451
38,0.0655
39,0.0498
40,0.0516
41,0.0514
42,0.0433
43,0.0509
44,0.0444
45,0.0485
46,0.0429
47,0.0425
48,0.0449
49,0.0431
50,0.0474
51,0.0472
52,0.0516
53,0.0493
54,0.0541
55,0.0439
56,0.0486
57,0.0455
58,0.0507
59,0.0506
60,0.0465
61,0.0419
62,0.0443
63,0.0493
64,0.0536
65,0.0496
66,0.054
67,0.0613
68,0.0585
69,0.0465
70,0.0627
71,0.0557
72,0.0472
73,0.0442
74,0.0469
75,0.0432
76,0.0486
77,0.0606
78,0.0445
79,0.0497
80,0.0423
81,0.0493
82,0.0523
83,0.0449
84,0.0566
85,0.0523
86,0.052
87,0.0455
88,0.0425
89,0.0535
90,0.0454
91,0.0507
92,0.0394
93,0.045
94,0.0421
95,0.0552
96,0.0463
97,0.0521
98,0.0548
99,0.0523
100,0.0429
101,0.0502
102,0.0616
103,0.0531
104,0.0454
105,0.0604
106,0.0527
107,0.0483
108,0.0519
109,0.0566
110,0.0571
111,0.0435
112,0.0446
113,0.0446
114,0.0505
115,0.0553
116,0.0533
117,0.0464
118,0.0478
119,0.0562
120,0.053
121,0.0428
122,0.0399
123,0.0461
124,0.0551
125,0.0574
126,0.0432
127,0.0483
128,0.0603
129,0.043
130,0.0495
131,0.0508
132,0.0524
133,0.0572
134,0.0473
135,0.0593
136,0.0513
137,0.045
138,0.0464
139,0.0588
140,0.0525
141,0.0482
142,0.047
143,0.0559
144,0.0429
145,0.0526
146,0.0528
147,0.0512
148,0.0533
149,0.049
150,0.044
151,0.0567
152,0.049
153,0.0566
154,0.0429
155,0.0541
156,0.0514
157,0.0391
158,0.0415
159,0.0481
160,0.0509
161,0.0542
162,0.0364
163,0.0552
164,0.0497
165,0.0494
166,0.0431
167,0.0519
168,0.0563
169,0.0479
170,0.0511
171,0.0529
172,0.0564
173,0.0574
174,0.0506
175,0.0394
176,0.0473
177,0.0466
178,0.0491
179,0.0482
180,0.0541
181,0.0484
182,0.0399
183,0.0561
184,0.0615
185,0.0469
186,0.0499
187,0.0494
188,0.0456
189,0.0403
190,0.0528
191,0.0497
192,0.0496
193,0.0632
194,0.0524
195,0.0584
196,0.0585
197,0.0452
198,0.047
199,0.0463
200,0.0402
201,0.0487
202,0.0485
203,0.0435
204,0.0428
205,0.0317
206,0.0485
207,0.0477
208,0.0455
209,0.0681
210,0.0449
211,0.0455
212,0.0436
213,0.0509
214,0.0484
215,0.0489
216,0.0451
217,0.0444
218,0.0486
219,0.0557
220,0.0499
221,0.0622
222,0.0546
223,0.0486
224,0.054
225,0.0514
226,0.0501
227,0.0426
228,0.0449
229,0.0514
230,0.0574
231,0.0401
232,0.0531
233,0.0543
234,0.0594
235,0.0609
236,0.0502
237,0.0525
238,0.0525
239,0.0552
240,0.0429
241,0.0567
242,0.0423
243,0.0495
244,0.044
245,0.0607
246,0.0413
247,0.0445
248,0.0561
249,0.0608
250,0.0553
251,0.0507
252,0.0497
253,0.0589
254,0.0432
255,0.0451
256,0.0378
257,0.0493
258,0.0475
259,0.0467
260,0.0559
261,0.0533
262,0.0446
263,0.0517
264,0.0446
265,0.0465
266,0.046
267,0.038
268,0.0633
269,0.0417
270,0.045
271,0.0387
272,0.0535
273,0.055
274,0.0484
275,0.0551
276,0.0541
277,0.039
278,0.056
279,0.0455
280,0.0552
281,0.0615
282,0.0441
283,0.0519
284,0.0469
285,0.057
286,0.0506
287,0.0474
288,0.056
289,0.0362
290,0.0478
291,0.0481
292,0.0392
293,0.0471
294,0.0488
295,0.0441
296,0.0483
297,0.0556
298,0.0428
299,0.0491
300,0.0519
301,0.0517
302,0.0463
303,0.0386
304,0.0479
305,0.0308
306,0.0592
307,0.0569
308,0.0495
309,0.0427
310,0.0491
311,0.0519
312,0.0529
313,0.0608
314,0.0515
315,0.0468
316,0.0528
317,0.0555
318,0.0513
319,0.0543
320,0.055
321,0.0527
322,0.0455
323,0.039
324,0.0329
325,0.0454
326,0.0525
327,0.0512
328,0.0447
329,0.0492
330,0.0513
331,0.0428
332,0.0541
333,0.0466
334,0.0443
335,0.0479
336,0.0561
337,0.0498
338,0.0407
339,0.052
340,0.0455
341,0.0512
342,0.0496
343,0.0487
344,0.0366
345,0.0479
346,0.0562
347,0.0489
348,0.0571
349,0.0574
350,0.0451
351,0.0559
352,0.0422
353,0.0568
354,0.0496
355,0.0496
356,0.0494
357,0.0458
358,0.0529
359,0.0503
360,0.0521
361,0.0523
362,0.0446
363,0.0427
364,0.0589
365,0.0523
366,0.0524
367,0.0536
368,0.0565
369,0.0531
370,0.0476
371,0.0436
372,0.0568
373,0.0452
374,0.0499
375,0.044
376,0.0508
377,0.0474
378,0.0408
379,0.055
380,0.051
381,0.0475
382,0.057
383,0.0512
384,0.0542
385,0.0491
386,0.0495
387,0.0558
388,0.0613
389,0.0541
390,0.0496
391,0.0511
392,0.0586
393,0.0527
394,0.0557
395,0.04
396,0.0446
397,0.0521
398,0.0462
399,0.0407
400,0.0436
401,0.044
402,0.0485
403,0.0423
404,0.0513
405,0.0577
406,0.0434
407,0.0555
408,0.037
409,0.0589
410,0.0455
411,0.052
412,0.0447
413,0.0465
414,0.0485
415,0.0401
416,0.0432
417,0.0516
418,0.0437
419,0.0614
420,0.0578
421,0.0598
422,0.041
423,0.0447
424,0.0498
425,0.0578
426,0.0523
427,0.0554
428,0.0464
429,0.0443
430,0.0522
431,0.0562
432,0.0554
433,0.0423
434,0.0659
435,0.0472
436,0.05
437,0.0507
438,0.0492
439,0.0516
440,0.0505
441,0.0436
442,0.0511
443,0.0569
444,0.0407
445,0.048
446,0.054
447,0.0545
448,0.0517
449,0.0531
450,0.0472
451,0.0463
452,0.0465
453,0.0418
454,0.0587
455,0.05
456,0.0505
457,0.0572
458,0.042
459,0.0481
460,0.0499
461,0.0556
462,0.0508
463,0.0405
464,0.0575
465,0.0458
466,0.0585
467,0.0479
468,0.0464
469,0.0501
470,0.0497
471,0.0585
472,0.0475
473,0.0551
474,0.0517
475,0.0419
476,0.0387
477,0.0459
478,0.0544
479,0.0598
480,0.0464
481,0.0428
482,0.0465
483,0.0568
484,0.0533
485,0.0569
486,0.0592
487,0.0524
488,0.0482
489,0.0521
490,0.0554
491,0.045
492,0.0449
493,0.0509
494,0.047
495,0.0375
496,0.0603
497,0.0505
498,0.0487
499,0.0339
500,0.0375
501,0.0526
502,0.0382
503,0.0546
504,0.0485
505,0.0585
506,0.0568
507,0.0445
508,0.0481
509,0.0492
510,0.0511
511,0.0535
512,0.0447
513,0.0566
514,0.0565
515,0.0576
516,0.0553
517,0.044
518,0.0611
519,0.0391
520,0.0488
521,0.054
522,0.051
523,0.0449
524,0.0504
525,0.0569
526,0.0371
527,0.0462
528,0.0534
529,0.0635
530,0.0537
531,0.0394
532,0.0592
533,0.0426
534,0.0551
535,0.045
536,0.0482
537,0.0484
538,0.0622
539,0.0459
540,0.0409
541,0.0548
542,0.0506
543,0.0486
544,0.0585
545,0.0447
546,0.0408
547,0.052
548,0.04
549,0.0505
550,0.0621
551,0.0504
552,0.0441
553,0.0523
554,0.0394
555,0.0459
556,0.054
557,0.0608
558,0.0552
559,0.0509
560,0.0448
561,0.0614
562,0.0569
563,0.0442
564,0.0453
565,0.0458
566,0.0569
567,0.0564
568,0.0508
569,0.0581
570,0.0619
571,0.0484
572,0.0565
573,0.0533
574,0.0476
575,0.0489
576,0.0478
577,0.0547
578,0.0479
579,0.0532
580,0.0462
581,0.0543
582,0.0442
583,0.0628
584,0.0475
585,0.0549
586,0.0412
587,0.047
588,0.0483
589,0.0495
590,0.0492
591,0.0495
592,0.0522
593,0.0462
594,0.0475
595,0.0455
596,0.0437
597,0.0576
598,0.0574
599,0.05
600,0.0573
601,0.0441
602,0.0487
603,0.0548
604,0.0443
605,0.0419
606,0.048
607,0.0496
608,0.0589
609,0.0541
610,0.0573
611,0.0522
612,0.0555
613,0.0564
614,0.065
615,0.0427
616,0.0473
617,0.0426
618,0.0517
619,0.0447
620,0.0552
621,0.0496
622,0.0477
623,0.0476
624,0.0401
625,0.0535
626,0.0463
627,0.0464
628,0.0547
629,0.0565
630,0.0612
631,0.0454
632,0.0451
633,0.0498
634,0.0501
635,0.0484
636,0.0568
637,0.049
638,0.0443
639,0.0438
640,0.0531
641,0.0495
642,0.0483
643,0.0576
644,0.0397
645,0.0413
646,0.0506
647,0.0457
648,0.0547
649,0.0428
650,0.0558
651,0.0578
652,0.0468
653,0.0484
654,0.0532
655,0.0491
656,0.042
657,0.0482
658,0.0576
659,0.0493
660,0.0642
661,0.0532
662,0.0378
663,0.0554
664,0.056
665,0.0485
666,0.0502
667,0.0505
668,0.0568
669,0.0507
670,0.0514
671,0.0383
672,0.0557
673,0.065
674,0.0454
675,0.056
676,0.0586
677,0.0476
678,0.057
679,0.0469
680,0.0567
681,0.0514
682,0.0521
683,0.0445
684,0.0483
685,0.0481
686,0.0548
687,0.0449
688,0.0511
689,0.0475
690,0.0475
691,0.0568
692,0.0385
693,0.0425
694,0.051
695,0.0565
696,0.0698
697,0.0562
698,0.0647
699,0.0604
700,0.0396
701,0.0471
702,0.0433
703,0.0514
704,0.0566
705,0.0487
706,0.0481
707,0.0467
708,0.0626
709,0.0503
710,0.0441
711,0.0525
712,0.0492
713,0.0515
714,0.049
715,0.045
716,0.04
717,0.049
718,0.0559
719,0.0508
720,0.048
721,0.0426
722,0.0516
723,0.0519
724,0.06
725,0.0635
726,0.0419
727,0.0411
728,0.0542
729,0.0509
730,0.0562
731,0.061
732,0.0526
733,0.0496
734,0.0434
735,0.0495
736,0.0561
737,0.0556
738,0.0516
739,0.0413
740,0.0471
741,0.0594
742,0.0556
743,0.0569
744,0.061
745,0.0437
746,0.0514
747,0.0423
748,0.0464
749,0.0529
750,0.0523
751,0.0486
752,0.0407
753,0.0541
