"Lot","WI_PLSDA_CRR"
1,0.3103
2,0.3067
3,0.3113
4,0.3196
5,0.3186
6,0.3117
7,0.3069
8,0.3156
9,0.3169
10,0.3119
11,0.3072
12,0.3167
13,0.318
14,0.3067
15,0.32
16,0.3146
17,0.2984
18,0.3141
19,0.3112
20,0.3097
21,0.3143
22,0.3189
23,0.3116
24,0.3098
25,0.3172
26,0.3115
27,0.3112
28,0.3051
29,0.3114
30,0.317
31,0.3128
32,0.3173
33,0.3136
34,0.3124
35,0.311
36,0.318
37,0.3174
38,0.3212
39,0.3181
40,0.3229
41,0.3128
42,0.3156
43,0.3073
44,0.3143
45,0.3046
46,0.3106
47,0.3099
48,0.308
49,0.3105
50,0.31
51,0.317
52,0.3094
53,0.3078
54,0.3088
55,0.3118
56,0.3147
57,0.3062
58,0.3097
59,0.321
60,0.3198
61,0.3036
62,0.3102
63,0.3146
64,0.3134
65,0.303
66,0.3087
67,0.3159
68,0.3159
69,0.3245
70,0.3215
71,0.313
72,0.3067
73,0.3081
74,0.2989
75,0.3067
76,0.3063
77,0.3147
78,0.3117
79,0.3132
80,0.316
81,0.3159
82,0.3109
83,0.313
84,0.3198
85,0.3093
86,0.3197
87,0.3061
88,0.3107
89,0.3066
90,0.3099
91,0.3106
92,0.3088
93,0.3187
94,0.3128
95,0.3087
96,0.3077
97,0.309
98,0.3033
99,0.3109
100,0.3169
101,0.3094
102,0.3174
103,0.3117
104,0.3097
105,0.3165
106,0.3165
107,0.3061
108,0.3164
109,0.3172
110,0.3216
111,0.3184
112,0.3075
113,0.3146
114,0.3171
115,0.3162
116,0.3177
117,0.3117
118,0.3142
119,0.317
120,0.3062
121,0.316
122,0.3134
123,0.3146
124,0.3137
125,0.3159
126,0.3116
127,0.3127
128,0.314
129,0.3111
130,0.3134
131,0.3149
132,0.3221
133,0.3085
134,0.3142
135,0.3154
136,0.3144
137,0.3204
138,0.3126
139,0.3234
140,0.3178
141,0.3116
142,0.3197
143,0.309
144,0.3141
145,0.3203
146,0.3126
147,0.3134
148,0.3178
149,0.3116
150,0.3032
151,0.3072
152,0.2986
153,0.3183
154,0.3118
155,0.315
156,0.3169
157,0.3105
158,0.3091
159,0.3075
160,0.3117
161,0.319
162,0.3084
163,0.3083
164,0.3111
165,0.3059
166,0.324
167,0.3172
168,0.3058
169,0.3162
170,0.3284
171,0.3125
172,0.3094
173,0.3167
174,0.3112
175,0.3168
176,0.3111
177,0.3108
178,0.3153
179,0.3118
180,0.3167
181,0.314
182,0.3052
183,0.3099
184,0.3171
185,0.3061
186,0.3246
187,0.308
188,0.3075
189,0.3044
190,0.3114
191,0.3097
192,0.3138
193,0.3206
194,0.3133
195,0.3024
196,0.3169
197,0.3121
198,0.313
199,0.312
200,0.3155
201,0.3162
202,0.3138
203,0.3097
204,0.3126
205,0.3139
206,0.3109
207,0.3088
208,0.3072
209,0.3159
210,0.3075
211,0.3111
212,0.3053
213,0.3143
214,0.3149
215,0.3151
216,0.3121
217,0.3155
218,0.3084
219,0.315
220,0.3105
221,0.3203
222,0.3142
223,0.3117
224,0.3133
225,0.3185
226,0.3122
227,0.3061
228,0.3173
229,0.3138
230,0.3215
231,0.3061
232,0.3196
233,0.3204
234,0.3184
235,0.3074
236,0.3091
237,0.3062
238,0.3159
239,0.3129
240,0.3055
241,0.3118
242,0.3113
243,0.3144
244,0.3182
245,0.3085
246,0.3149
247,0.3194
248,0.3111
249,0.317
250,0.3086
251,0.3157
252,0.3157
253,0.3145
254,0.3128
255,0.312
256,0.3128
257,0.32
258,0.3194
259,0.3035
260,0.3147
261,0.3064
262,0.3206
263,0.3067
264,0.3128
265,0.3094
266,0.3166
267,0.3157
268,0.3245
269,0.3071
270,0.3073
271,0.3106
272,0.3084
273,0.3176
274,0.3031
275,0.3216
276,0.3177
277,0.3074
278,0.32
279,0.3112
280,0.3143
281,0.3106
282,0.3027
283,0.3205
284,0.3068
285,0.3022
286,0.3109
287,0.3107
288,0.3198
289,0.3147
290,0.318
291,0.3098
292,0.3163
293,0.3062
294,0.3185
295,0.3106
296,0.3088
297,0.3081
298,0.306
299,0.3149
300,0.3131
301,0.314
302,0.3087
303,0.3121
304,0.3078
305,0.3094
306,0.3107
307,0.3117
308,0.3128
309,0.31
310,0.3181
311,0.3187
312,0.3197
313,0.3161
314,0.3052
315,0.3053
316,0.3188
317,0.3085
318,0.3078
319,0.3133
320,0.3052
321,0.3022
322,0.308
323,0.3168
324,0.3036
325,0.3157
326,0.3131
327,0.3167
328,0.3104
329,0.3091
330,0.3065
331,0.314
332,0.3121
333,0.3174
334,0.316
335,0.3077
336,0.3121
337,0.3095
338,0.3112
339,0.3143
340,0.3069
341,0.3114
342,0.304
343,0.3116
344,0.3153
345,0.3097
346,0.312
347,0.3125
348,0.3146
349,0.3082
350,0.3158
351,0.3085
352,0.3062
353,0.3133
354,0.3148
355,0.3166
356,0.3103
357,0.3067
358,0.3035
359,0.3193
360,0.3151
361,0.3043
362,0.3171
363,0.3138
364,0.3183
365,0.3086
366,0.3127
367,0.3142
368,0.314
369,0.3101
370,0.3102
371,0.3119
372,0.3202
373,0.3144
374,0.314
375,0.3075
376,0.3124
377,0.317
378,0.3159
379,0.3141
380,0.3148
381,0.3115
382,0.3117
383,0.3144
384,0.3116
385,0.308
386,0.3124
387,0.3164
388,0.3117
389,0.3107
390,0.3075
391,0.3173
392,0.3048
393,0.3067
394,0.3162
395,0.3177
396,0.31
397,0.3208
398,0.301
399,0.3189
400,0.3114
401,0.3229
402,0.3094
403,0.3178
404,0.3184
405,0.3176
406,0.3208
407,0.3062
408,0.3178
409,0.3087
410,0.3243
411,0.3164
412,0.3059
413,0.3196
414,0.3061
415,0.3103
416,0.317
417,0.3143
418,0.3095
419,0.3191
420,0.3192
421,0.3089
422,0.3049
423,0.3116
424,0.3081
425,0.3122
426,0.3222
427,0.3139
428,0.3067
429,0.3109
430,0.3065
431,0.3133
432,0.3228
433,0.3129
434,0.3139
435,0.3087
436,0.3194
437,0.3085
438,0.3164
439,0.315
440,0.3147
441,0.3115
442,0.3003
443,0.3183
444,0.3101
445,0.3165
446,0.3087
447,0.3051
448,0.3166
449,0.3102
450,0.3117
451,0.3164
452,0.3132
453,0.3042
454,0.3135
455,0.3144
456,0.3106
457,0.3101
458,0.304
459,0.3221
460,0.3128
461,0.3115
462,0.3261
463,0.3115
464,0.3118
465,0.3065
466,0.3088
467,0.3218
468,0.3205
