"Lot","WI_Prev50_CRR"
1,0.1807
2,0.179
3,0.1888
4,0.1804
5,0.1863
6,0.1768
7,0.1758
8,0.1832
9,0.1809
10,0.1827
11,0.1835
12,0.1806
13,0.1823
14,0.1822
15,0.1795
16,0.1829
17,0.1813
18,0.1835
19,0.186
20,0.1844
21,0.179
22,0.1887
23,0.1828
24,0.1846
25,0.182
26,0.1802
27,0.1801
28,0.1816
29,0.1839
30,0.1778
31,0.1797
32,0.1862
33,0.1833
34,0.1779
35,0.1798
36,0.1769
37,0.181
38,0.177
39,0.1816
40,0.1801
41,0.1883
42,0.1795
43,0.179
44,0.1766
45,0.1824
46,0.1758
47,0.1851
48,0.1705
49,0.1787
50,0.186
51,0.1822
52,0.1828
53,0.1821
54,0.176
55,0.1852
56,0.176
57,0.1766
58,0.1906
59,0.1856
60,0.1799
61,0.1815
62,0.174
63,0.1765
64,0.1736
65,0.1841
66,0.1856
67,0.1831
68,0.1838
69,0.1817
70,0.1825
71,0.1868
72,0.1851
73,0.1798
74,0.1796
75,0.1813
76,0.1868
77,0.176
78,0.1764
79,0.1802
80,0.1871
81,0.177
82,0.1792
83,0.183
84,0.1837
85,0.1844
86,0.185
87,0.1791
88,0.1809
89,0.1848
90,0.1857
91,0.1844
92,0.177
93,0.1819
94,0.1873
95,0.1813
96,0.1805
97,0.1782
98,0.1799
99,0.1826
100,0.184
101,0.1779
102,0.185
103,0.1951
104,0.1827
105,0.1831
106,0.1846
107,0.1813
108,0.1785
109,0.1834
110,0.1793
111,0.174
112,0.1858
113,0.1847
114,0.1854
115,0.1816
116,0.1853
117,0.1782
118,0.1851
119,0.179
120,0.1844
121,0.1853
122,0.1839
123,0.1892
124,0.1823
125,0.1796
126,0.1823
127,0.1891
128,0.1797
129,0.1809
130,0.1833
131,0.1809
132,0.1826
133,0.1803
134,0.1905
135,0.1799
136,0.1832
137,0.1841
138,0.1744
139,0.1804
140,0.1807
141,0.1786
142,0.175
143,0.1783
144,0.183
145,0.1907
146,0.1832
147,0.1812
148,0.1835
149,0.1802
150,0.1829
151,0.1745
152,0.1834
153,0.1851
154,0.1825
155,0.1804
156,0.1805
157,0.1908
158,0.1821
159,0.1813
160,0.1784
161,0.1772
162,0.1794
163,0.1751
164,0.1916
165,0.1872
166,0.1848
167,0.192
168,0.1773
169,0.1919
170,0.1784
171,0.1856
172,0.1806
173,0.1818
174,0.1765
175,0.1768
176,0.1827
177,0.1891
178,0.1825
179,0.1816
180,0.1778
181,0.1767
182,0.1772
183,0.18
184,0.1838
185,0.1816
186,0.1855
187,0.1754
188,0.1835
189,0.1786
190,0.1895
191,0.1789
192,0.1775
193,0.1804
194,0.1753
195,0.1817
196,0.1853
197,0.1789
198,0.177
199,0.1861
200,0.1769
201,0.1825
202,0.1756
203,0.1774
204,0.1793
205,0.1841
206,0.1826
207,0.1787
208,0.1866
209,0.1849
210,0.1793
211,0.1884
212,0.1746
213,0.1825
214,0.1786
215,0.1737
216,0.1869
217,0.1877
218,0.178
219,0.1837
220,0.1851
221,0.1836
222,0.1817
223,0.1732
224,0.1847
225,0.1801
226,0.1814
227,0.1808
228,0.1827
229,0.1865
230,0.1821
231,0.1872
232,0.1848
233,0.1804
234,0.1849
235,0.1851
236,0.1803
237,0.1886
238,0.1785
239,0.1811
240,0.1799
241,0.1776
242,0.189
243,0.1861
244,0.1801
245,0.1817
246,0.1831
247,0.1818
248,0.1786
249,0.1776
250,0.1883
251,0.1814
252,0.1799
253,0.1807
254,0.1754
255,0.1863
256,0.1852
257,0.1866
258,0.1893
259,0.1803
260,0.1818
261,0.1768
262,0.1868
263,0.18
264,0.1823
265,0.1875
266,0.1897
267,0.1812
268,0.1872
269,0.1825
270,0.1807
271,0.1817
272,0.1801
273,0.1837
274,0.1819
275,0.183
276,0.175
277,0.1781
278,0.179
279,0.1819
280,0.1772
281,0.1784
282,0.1802
283,0.1855
284,0.1788
285,0.1843
286,0.1835
287,0.1867
288,0.1815
289,0.1849
290,0.1912
291,0.181
292,0.1821
293,0.1897
294,0.1829
295,0.1867
296,0.1817
297,0.1829
298,0.1777
299,0.1798
300,0.1762
301,0.1822
302,0.1835
303,0.1815
304,0.1859
305,0.1832
306,0.1809
307,0.1743
308,0.1788
309,0.1771
310,0.1764
311,0.1899
312,0.1837
313,0.1807
314,0.1857
315,0.1805
316,0.1818
317,0.1803
318,0.1826
319,0.1734
320,0.1857
321,0.1835
322,0.1786
323,0.1848
324,0.1816
325,0.1777
326,0.1832
327,0.1838
328,0.1795
329,0.1868
330,0.1823
331,0.1866
332,0.1899
333,0.178
334,0.1833
335,0.1844
336,0.1825
337,0.1862
338,0.1818
339,0.1865
340,0.1822
341,0.1824
342,0.1763
343,0.178
344,0.1817
345,0.1834
346,0.1867
347,0.1813
348,0.1791
349,0.1805
350,0.1876
351,0.1852
352,0.1751
353,0.1756
354,0.1799
355,0.1776
356,0.1849
357,0.1956
358,0.1755
359,0.1817
360,0.1842
361,0.183
362,0.1788
363,0.186
364,0.1776
365,0.1798
366,0.1829
367,0.1808
368,0.1805
369,0.1812
370,0.1833
371,0.1785
372,0.188
373,0.184
374,0.1824
375,0.1829
376,0.189
377,0.1889
378,0.1798
379,0.1818
380,0.1844
381,0.1817
382,0.1776
383,0.1861
384,0.1842
385,0.188
386,0.1809
387,0.1869
388,0.1826
389,0.1839
390,0.1905
391,0.1799
392,0.1884
393,0.1873
394,0.1864
395,0.1837
396,0.1878
397,0.1799
398,0.1864
399,0.1869
400,0.1809
401,0.1764
402,0.181
403,0.1781
404,0.194
405,0.1855
406,0.1775
407,0.1829
408,0.1814
409,0.1831
410,0.1829
411,0.1826
412,0.1792
413,0.1835
414,0.1856
415,0.186
416,0.1848
417,0.1843
418,0.1829
419,0.1843
420,0.1893
421,0.1842
422,0.1848
423,0.1826
424,0.1799
425,0.1869
426,0.1874
427,0.1788
428,0.1783
429,0.1833
430,0.1846
431,0.1781
432,0.1819
433,0.1815
434,0.1809
435,0.1833
436,0.1828
437,0.1897
438,0.1879
439,0.1823
440,0.1853
441,0.1819
442,0.1791
443,0.184
444,0.1839
445,0.189
446,0.1889
447,0.1853
448,0.1789
449,0.1783
450,0.1839
451,0.1791
452,0.1838
453,0.1727
454,0.1795
455,0.1808
456,0.1865
457,0.1845
458,0.178
459,0.1826
460,0.1776
