"Lot","WI_Temp5_CRR"
1,0.3305
2,0.3296
3,0.3387
4,0.3394
5,0.3369
6,0.333
7,0.3267
8,0.3393
9,0.3374
10,0.3319
11,0.3349
12,0.3359
13,0.3383
14,0.3246
15,0.339
16,0.3356
17,0.3221
18,0.336
19,0.3339
20,0.3316
21,0.3334
22,0.3367
23,0.3326
24,0.33
25,0.3375
26,0.3327
27,0.3311
28,0.3284
29,0.3342
30,0.3374
31,0.3315
32,0.3357
33,0.3343
34,0.3326
35,0.3309
36,0.3371
37,0.3402
38,0.3398
39,0.3384
40,0.3422
41,0.3332
42,0.3361
43,0.3277
44,0.336
45,0.3288
46,0.3332
47,0.3341
48,0.3326
49,0.3299
50,0.3339
51,0.3373
52,0.3276
53,0.3265
54,0.3296
55,0.3358
56,0.3355
57,0.3305
58,0.3305
59,0.3403
60,0.3408
61,0.3252
62,0.3287
63,0.3406
64,0.3317
65,0.324
66,0.3293
67,0.3376
68,0.3362
69,0.3423
70,0.3404
71,0.3383
72,0.3295
73,0.3328
74,0.3211
75,0.3262
76,0.3304
77,0.335
78,0.3327
79,0.335
80,0.3369
81,0.3357
82,0.3345
83,0.3354
84,0.3361
85,0.3321
86,0.3413
87,0.329
88,0.3325
89,0.3294
90,0.3329
91,0.3287
92,0.3309
93,0.3378
94,0.3337
95,0.327
96,0.3299
97,0.3365
98,0.3249
99,0.3332
100,0.3363
101,0.334
102,0.3357
103,0.3313
104,0.3295
105,0.3368
106,0.3354
107,0.3252
108,0.3369
109,0.338
110,0.3402
111,0.3341
112,0.3353
113,0.338
114,0.3326
115,0.3397
116,0.3384
117,0.3338
118,0.3363
119,0.3372
120,0.3307
121,0.3392
122,0.3346
123,0.3379
124,0.3383
125,0.3361
126,0.3363
127,0.331
128,0.3348
129,0.3356
130,0.3319
131,0.3348
132,0.3404
133,0.3314
134,0.3364
135,0.3338
136,0.3358
137,0.3389
138,0.3319
139,0.3446
140,0.3364
141,0.331
142,0.3438
143,0.3312
144,0.3403
145,0.3415
146,0.3312
147,0.3345
148,0.3405
149,0.3334
150,0.322
151,0.327
152,0.325
153,0.3393
154,0.3285
155,0.3334
156,0.3367
157,0.334
158,0.3284
159,0.3285
160,0.335
161,0.3381
162,0.3288
163,0.3335
164,0.3327
165,0.3283
166,0.3422
167,0.3347
168,0.3256
169,0.3383
170,0.3462
171,0.331
172,0.3319
173,0.3374
174,0.3319
175,0.3391
176,0.3336
177,0.3319
178,0.3355
179,0.3322
180,0.3373
181,0.3395
182,0.3285
183,0.3352
184,0.3377
185,0.3267
186,0.3438
187,0.3314
188,0.3279
189,0.3275
190,0.331
191,0.33
192,0.3354
193,0.3427
194,0.3351
195,0.3237
196,0.342
197,0.3354
198,0.3372
199,0.3337
200,0.3371
201,0.3342
202,0.3326
203,0.332
204,0.3343
205,0.3346
206,0.3326
207,0.3335
208,0.3319
209,0.338
210,0.3308
211,0.335
212,0.3293
213,0.3356
214,0.3371
215,0.3302
216,0.3343
217,0.3359
218,0.3308
