"Lot","ln_N0","N0","var_N0_CRR"
1,-1.41267444586549,0.243491207518386,0.3337
2,-0.772785200104459,0.461725278473682,0.3318
3,-3.4351606026318,0.0322202351617988,0.3304
4,-2.07549219747558,0.125494644142594,0.3414
5,-2.27121568440639,0.103186661387802,0.3383
6,-1.72486628350102,0.178196878042542,0.3348
7,-2.9901117692581,0.0502818164481902,0.3263
8,-2.40847169545272,0.0899526646402694,0.341
9,-2.39967799952514,0.0907471692169684,0.3398
10,-1.38081675018632,0.251373160118451,0.3346
11,-1.8027173098632,0.164850329634587,0.3378
12,-1.1198168066294,0.326339572393654,0.3377
13,1.21758841757478,3.37902909278348,0.3401
14,-0.256411000589999,0.77382386136198,0.3266
15,-1.14294150490131,0.318879654849687,0.3402
16,-2.39583991340833,0.0910961339171856,0.3367
17,-0.591383798821724,0.553560737786745,0.3238
18,-3.32154010330988,0.0360971955119778,0.3277
19,0.189806590613681,1.20901574005052,0.3372
20,-2.67879343473974,0.0686459300014027,0.3324
21,-0.831890869312301,0.435225553138708,0.3357
22,-0.49453106937694,0.609856820793225,0.3405
23,-2.51008121506624,0.0812616393034695,0.3329
24,-0.124697527814717,0.882763873724862,0.3326
25,-2.09867794683684,0.122618429224656,0.3392
26,-3.81102188281484,0.0221255576736999,0.3116
27,-1.15369408097238,0.315469245306058,0.3324
28,-2.66142435226134,0.0698486617579151,0.3318
29,-2.16205349859783,0.115088544052105,0.3362
30,-0.457463415603342,0.632886982391957,0.3383
31,-0.62994158792059,0.532622911710082,0.3327
32,-0.739210532419976,0.477490730211236,0.3376
33,-1.7480374592076,0.174115316773091,0.3376
34,-1.35852202764569,0.257040394949677,0.3344
35,-1.47045766120186,0.229820281288542,0.3333
36,-1.42059087642352,0.241571235970312,0.3386
37,-3.69262644728853,0.024906500451115,0.3242
38,-2.58380180472771,0.0754864729708947,0.3405
39,-3.4870904669151,0.0305897446939957,0.3263
40,-2.53427736755995,0.0793190170544534,0.3434
41,-2.38864817792159,0.0917536346680401,0.3348
42,-0.409858986612759,0.663743840304613,0.3369
43,-1.0726024005349,0.342117032373211,0.3291
44,-1.90189618627851,0.149285277977957,0.3377
45,-4.29642884971583,0.0136171009993502,0.2893
46,-1.55883679707921,0.210380644309049,0.3345
47,-1.4922124031523,0.224874591528233,0.3365
48,-3.18486187079117,0.0413839617400855,0.3285
49,0.329256825909357,1.38993478101588,0.3316
50,-1.78061067597108,0.168535195442554,0.3364
51,-0.469501580935088,0.625313858973746,0.3391
52,-1.77177023767388,0.170031725683841,0.3311
53,-0.672485660149114,0.510438223655173,0.3287
54,-2.63699951319108,0.0715757096558204,0.3296
55,-2.79809790022167,0.0609258395065415,0.3353
56,-4.21717405515233,0.0147402408103585,0.3053
57,-0.868897522795666,0.419413688482582,0.333
58,-0.983262728594169,0.374088556094611,0.334
59,-1.52292649608307,0.218072763124559,0.3427
60,-0.243414762517169,0.783946294793344,0.3427
61,-3.04743595501321,0.0474805106134655,0.3237
62,-2.29356194841376,0.100906397586581,0.3319
63,-1.02914437380667,0.357312555794806,0.3421
64,-1.27090542366197,0.280577465260018,0.334
65,-3.65077512753641,0.0259709901451497,0.309
66,-3.40260919989936,0.0332863059303106,0.3232
67,-2.59811147465918,0.0744139782817594,0.3385
68,-2.92945050518869,0.0534263876035463,0.3336
69,-1.22455562909106,0.293888266707638,0.3435
70,-2.3666845610544,0.0937911702632928,0.3424
71,-2.20970479667698,0.109733037291893,0.3407
72,-3.37678312070704,0.0341571576426162,0.3208
73,-1.23417721869364,0.291074154243642,0.3344
74,-1.5329468409728,0.215898510400623,0.3238
75,-2.64794899463488,0.0707962677806239,0.3275
76,-1.59555877201353,0.202795180566286,0.3337
77,-0.477208947457008,0.620512861162616,0.3368
78,-0.515805084769494,0.597019749576229,0.3352
79,-1.34567747054671,0.260363259657632,0.3374
80,-1.43235506362132,0.238745997628543,0.3397
81,-1.08479265758803,0.337971854529857,0.3374
82,-1.47557910558329,0.22864627836164,0.3368
83,-2.84408357067477,0.0581875671059418,0.335
84,-1.09934969445682,0.333087622009373,0.3385
85,0.205362366455009,1.22796995947196,0.3347
86,1.04802528866012,2.85201365001288,0.3441
87,-2.77166878662881,0.062557522430095,0.3285
88,-1.7274719045534,0.17773316889316,0.3341
89,-2.14959194089779,0.116531699893678,0.3329
90,-0.935665762178368,0.392324583695918,0.3352
91,-1.17006610169184,0.310346426163625,0.3302
92,-0.193642835194515,0.823952138425656,0.3329
93,-1.61462425210572,0.198965417233526,0.3392
94,-1.04693014633409,0.351013657388642,0.3353
95,-2.67250523472535,0.0690789493687715,0.3299
96,-0.31456234200567,0.730108342107781,0.3319
97,-0.841339853692914,0.43113248182206,0.3403
98,-0.130498365078845,0.877657927849079,0.3272
99,-0.682016954955595,0.505596198505925,0.3351
100,-1.66426808966921,0.189329179265444,0.3379
101,0.0544050474590852,1.0559122101062,0.3367
102,-2.20517358803475,0.11023138879345,0.3382
103,-2.30418562634221,0.0998400746822261,0.3331
104,-2.20928234136952,0.109779404389223,0.3321
105,-3.23481569374631,0.0393674599405736,0.3325
106,-0.775906889101671,0.460286163156037,0.3364
107,-0.582732141877744,0.558370732597461,0.3268
108,-2.10779386103234,0.121505729488143,0.3384
109,-3.10698158544571,0.0447357828933674,0.3339
110,-1.86032433017711,0.155622149222941,0.3425
111,-2.77989231015775,0.0620451886541773,0.3324
112,-2.28428386798013,0.101846971874344,0.3366
113,-1.82129272233767,0.161816431951183,0.3396
114,-2.92159191574001,0.0538478977176365,0.3307
115,-1.48537704350523,0.226416955537965,0.3419
116,-3.19833921947688,0.0408299572989373,0.3315
117,-2.89699302875952,0.0551889223027653,0.3337
118,-3.54005013963878,0.0290118724009264,0.3256
119,-0.52469683088862,0.591734732869083,0.3389
120,-0.554151625014438,0.574559496392593,0.333
121,-1.64446934047256,0.193115013930056,0.3416
122,-0.950393582152868,0.386588839040387,0.3362
123,-0.929214956570336,0.394863573781781,0.3401
124,-1.22063089771725,0.295043965628802,0.34
125,-2.89264067683425,0.0554296473951589,0.3352
126,-2.80894903468183,0.0602682990120623,0.3355
127,-3.10222418690697,0.044949115894226,0.326
128,-1.14917226503741,0.31689896920452,0.3379
129,-1.63301517942922,0.195339701038919,0.3386
130,-3.40872125156524,0.0330834787851137,0.3203
131,-2.17163984027153,0.11399053728879,0.3366
132,-2.8481105661214,0.0579537172104103,0.3395
133,-0.79104982745374,0.453368586568759,0.3337
134,-0.357762146234617,0.699239371946086,0.3389
135,-2.09087844633811,0.123578531014654,0.3362
136,-1.56216167637526,0.209682315633099,0.3377
137,-0.0271806281741362,0.973185440938253,0.3403
138,-1.56947832308388,0.208153743040505,0.3329
139,-2.69880346518094,0.0672859746038869,0.345
