"Lot","Tmin","var_Tmin_CRR"
1,-2.21747021996139,0.3311
2,-1.0812862516058,0.3294
3,-5.85605131944284,0.3397
4,-3.39676561943817,0.3407
5,-3.74593688111228,0.3378
6,-2.77247444252269,0.333
7,-5.03766798254903,0.3284
8,-3.9912248333017,0.3405
9,-3.97549722061756,0.3387
10,-2.16086654993241,0.3327
11,-2.91098345481066,0.3359
12,-1.69729921211378,0.3363
13,2.44840393109737,0.3304
14,-0.165161519144584,0.3229
15,-1.73836069209556,0.3388
16,-3.96863334415554,0.336
17,-0.759399503459556,0.3199
18,-5.6444725116033,0.3381
19,0.626201969678858,0.3304
20,-4.47577662263855,0.3328
21,-1.18618144306579,0.3324
22,-0.587565513228793,0.3363
23,-4.1730980921629,0.3327
24,0.0684536362086519,0.3283
25,-3.4380981413528,0.3383
26,-6.58232802992731,0.3342
27,-1.75745419969424,0.3311
28,-4.44456864953219,0.3306
29,-3.55111559975107,0.3354
30,-0.521805123474866,0.336
31,-0.827812624305929,0.3308
32,-1.02170465764136,0.3353
33,-2.81369427412492,0.3355
34,-2.12125699290367,0.3323
35,-2.32015077896856,0.3318
36,-2.23153665507671,0.3373
37,-6.3475162463771,0.3412
38,-4.30523773221125,0.3407
39,-5.95363946612702,0.34
40,-4.21644966506697,0.3427
41,-3.95577287389349,0.3338
42,-0.437355036804609,0.3345
43,-1.61346841206709,0.327
44,-3.08751705937707,0.3369
45,-7.71353629177443,0.3294
46,-2.47723621224444,0.3328
47,-2.35881355228485,0.334
48,-5.39271404606852,0.3346
49,0.8734776807751,0.3265
50,-2.87164712296804,0.3341
51,-0.543161353520444,0.3362
52,-2.85591771640159,0.3289
53,-0.903301952148577,0.3253
54,-4.40070293374749,0.3307
55,-4.69048797396664,0.3371
56,-7.49271662453998,0.337
57,-1.25186167204921,0.3304
58,-1.45486230003378,0.3303
59,-2.41340356890422,0.3409
60,-0.142109633496896,0.3383
61,-5.14181298727665,0.3268
62,-3.78584473683926,0.3297
63,-1.53631362409411,0.3404
64,-1.96561644969544,0.3323
65,-6.26611640512182,0.3253
66,-5.79518277100888,0.3307
67,-4.33090723783082,0.3394
68,-4.92773217999989,0.3369
69,-1.88329480256489,0.342
70,-3.91650430378468,0.3414
71,-3.63613340934141,0.3398
72,-5.74704114605807,0.3305
73,-1.90038294593041,0.3318
74,-2.43121452959407,0.3214
75,-4.42036482824322,0.3278
76,-2.54251995308951,0.3311
77,-0.556834680963314,0.3329
78,-0.62530800642448,0.3324
79,-2.09843798813305,0.3343
80,-2.2524406326262,0.3366
81,-1.63511191920938,0.3354
82,-2.32925243081859,0.3348
83,-4.77343264812954,0.3378
84,-1.66095823147356,0.3356
85,0.653786532131408,0.3286
86,2.14781419434645,0.3326
87,-4.64286696967235,0.3306
88,-2.77710943760131,0.3327
89,-3.52888814014122,0.3311
90,-1.37037234468701,0.3334
91,-1.78652704108494,0.3286
92,-0.0538293887830013,0.3296
93,-2.57641771593983,0.3385
94,-1.56788951918149,0.3339
95,-4.46447689534275,0.3293
96,-0.268309332019186,0.3278
97,-1.20295138708627,0.3356
98,0.0581653479400139,0.3237
99,-0.920214582970452,0.3321
100,-2.66469439920596,0.3369
101,0.3860897699493,0.3314
102,-3.62804736164762,0.3366
103,-3.80482083580019,0.3321
104,-3.63537951318902,0.3311
105,-5.48443252938136,0.3386
106,-1.08682612856578,0.3346
107,-0.74404924307396,0.3238
108,-3.45435087433765,0.3372
109,-5.25029468590303,0.3393
110,-3.01350962748089,0.3409
111,-4.65768073730388,0.3348
112,-3.76927397832549,0.3359
113,-2.94403971934289,0.3384
114,-4.913508817246,0.3337
115,-2.34666538884359,0.3395
116,-5.41742897562652,0.339
117,-4.86901289675069,0.3366
118,-6.0538532166034,0.3378
119,-0.641083190634367,0.3364
120,-0.693341038433696,0.3302
121,-2.62948619095199,0.3393
122,-1.39651519364402,0.3343
123,-1.35892192935072,0.3374
124,-1.87632450330326,0.3378
125,-4.86114409234136,0.3382
126,-4.71005015677958,0.337
127,-5.24161531131852,0.3314
128,-1.74942469407303,0.3346
129,-2.60911846670156,0.3363
130,-5.80659518949473,0.3331
131,-3.56821625086248,0.3351
132,-4.78070163935806,0.3416
133,-1.11369972327822,0.3313
134,-0.344939377777725,0.3348
135,-3.42419337469192,0.3348
136,-2.48314677762058,0.336
137,0.241402754935253,0.3372
138,-2.49615366456667,0.332
139,-4.51174476863589,0.3454
140,-0.999026210813142,0.336
141,-3.02737217076034,0.3325
142,-3.59745458941501,0.3448
143,-5.59049377786467,0.3348
144,-3.48239353262555,0.3406
145,-7.59025266347099,0.3427
146,-2.24520695613808,0.3314
147,-2.75775767584688,0.3349
148,-4.04314471418589,0.3419
149,-3.15073076433472,0.3335
150,-2.62599494123178,0.3223
151,-5.32191332486616,0.3286
152,-1.85201434617622,0.325
153,-5.56170261899973,0.34
154,-2.95119998919817,0.3289
155,-1.93206510263836,0.3333
156,-4.52529426138197,0.3376
157,-0.711276910428933,0.3327
158,1.31531925888246,0.3238
159,-3.28150021838731,0.3286
160,-2.5030138327038,0.3357
161,-4.18046499619765,0.3389
162,-3.65266178785006,0.3296
163,-5.57759399816863,0.3357
164,-0.514356247145308,0.331
165,-1.59971752860411,0.3275
166,-3.93508180468665,0.3429
167,-6.30413544946349,0.3359
168,-5.62605919352501,0.3266
169,-3.31250891532485,0.3389
170,-3.59209905406436,0.3473
171,-2.27169861596236,0.3315
172,-5.11724282432798,0.3329
173,-5.66244186048129,0.3383
174,0.0951884761726736,0.3301
175,-2.50796201908613,0.3394
176,-2.73298175642839,0.3337
177,-4.33855541316219,0.3334
178,-3.52429199790375,0.337
179,-6.31431050948581,0.3336
180,-2.70312278625147,0.3375
181,-2.16916234678981,0.3397
182,-1.34605966614693,0.3282
183,-2.89537709989736,0.3358
184,-3.95788651509261,0.339
185,-5.21843203030607,0.327
186,0.585200655950925,0.34
187,-5.93194933446449,0.3329
188,-4.5053095129075,0.3294
189,-4.82559813750857,0.3285
190,0.478467615695912,0.3283
191,-3.67498399783609,0.3301
192,0.134946080151536,0.3339
193,0.436365086786353,0.3389
194,-2.49941554882747,0.3363
195,-4.11293831774423,0.3255
196,-4.53980764610469,0.3439
197,-2.6040581386527,0.3355
198,-1.34712838077502,0.3362
199,-1.57557495653332,0.3336
200,-1.62917063318336,0.3368
201,-2.5159796504784,0.3346
202,-2.05003451527298,0.3325
203,-2.59967266797281,0.333
204,-5.0527610692075,0.3357
205,0.222286843816237,0.3321
206,-1.6883930026895,0.3325
207,-5.00950835588346,0.3354
208,-4.49385281996532,0.3333
209,-3.14777658713505,0.3387
210,-2.39029492987683,0.3311
211,-2.58040776054693,0.3354
212,-4.02572615891859,0.3308
213,0.42670298439397,0.334
214,-2.2920912913087,0.3381
215,-0.846988713709837,0.3291
216,-5.55590719121413,0.3352
217,-6.14999013817806,0.3387
218,-3.05130736886878,0.3319
219,-4.54729189333066,0.3335
220,-3.5002039751765,0.3325
221,-1.98707480532831,0.3423
222,-3.62153081419557,0.3342
223,-0.500448251243478,0.33
224,-3.49361215222008,0.3305
225,-4.41118606969173,0.3418
226,-0.946018739162607,0.33
227,-4.18949643128572,0.3337
228,-2.83169884269613,0.3388
