"Lot","mumax","var_mumax_CRR"
1,3.29305571457774,0.3315
2,3.95453259673625,0.3308
3,1.20287002898414,0.3364
4,2.60790446766002,0.3395
5,2.40559687221139,0.3368
6,2.97033943993996,0.3335
7,1.66262141327034,0.3266
8,2.26372841431867,0.3396
9,2.27281747699644,0.3374
10,3.32598774680415,0.334
11,2.88986518803501,0.3365
12,3.59579133338781,0.3366
13,6.01210553224889,0.3395
14,4.48833610561373,0.3261
15,3.57188650439045,0.3395
16,2.27678448511399,0.3353
17,4.14205626393906,0.323
18,1.32021604258389,0.3331
19,4.94961838876353,0.3363
20,1.98433919911393,0.3317
21,3.89343230036834,0.3347
22,4.24217805535599,0.3389
23,2.15870761729841,0.3318
24,4.62449608033786,0.3316
25,2.58393839950152,0.3377
26,0.814943992140781,0.3279
27,3.56077118877502,0.3315
28,2.00229006353329,0.3282
29,2.51843039273859,0.3345
30,4.28049689951724,0.3377
31,4.10219709192882,0.3321
32,3.98924034337308,0.3369
33,2.94638744031331,0.3361
34,3.34903434793949,0.3332
35,3.2333240304301,0.3323
36,3.28487232748903,0.3378
37,0.937082811489238,0.3352
38,2.08251414943376,0.3396
39,1.14924654985781,0.336
40,2.13369962101638,0.3418
41,2.28421780292375,0.3335
42,4.32970821698793,0.3366
43,3.64459862205111,0.328
44,2.78734534365264,0.3364
45,0.315379453854514,0.3189
46,3.14196513714201,0.3331
47,3.21083576548679,0.3349
48,1.46140479079005,0.3297
49,5.0937770279928,0.3309
50,2.91271665497869,0.3338
51,4.26805239224821,0.3387
52,2.92185496548386,0.3293
53,4.05821713249175,0.3281
54,2.02753324081176,0.3288
55,1.8610425321767,0.3351
56,0.396742377409926,0.3282
57,3.85517684050599,0.3321
58,3.73695259178227,0.3328
59,3.17908611244338,0.3402
60,4.50177107131776,0.3421
61,1.60338988117955,0.3243
62,2.38249936363697,0.329
63,3.68952287595694,0.3404
64,3.4396060339171,0.3331
65,0.980272106764437,0.3212
66,1.23648614420784,0.3283
67,2.06772470633133,0.3372
68,1.72530404827756,0.3363
69,3.48751924096548,0.343
70,2.30691929835291,0.3405
71,2.46917620115391,0.3377
72,1.26315851849195,0.3276
73,3.47757309983709,0.3337
74,3.16872793416588,0.3219
75,2.01621687272766,0.3256
76,3.10400521895757,0.3311
77,4.26008486905293,0.3356
78,4.22018596371608,0.3336
79,3.36231209378019,0.3359
80,3.27271143723154,0.3375
81,3.63199709142858,0.3366
82,3.22802989925203,0.3348
83,1.81352013922263,0.3348
84,3.61694893828603,0.3376
85,4.96569938150819,0.3336
86,5.83681630622912,0.3434
87,1.88835538950524,0.3279
88,2.96764601201296,0.3323
89,2.53131120096339,0.3302
90,3.78615557973817,0.3345
91,3.54384686510568,0.3292
92,4.55322322469107,0.3323
93,3.08429705776867,0.3382
94,3.67113702219217,0.3344
95,1.99083800854002,0.327
96,4.42822172004735,0.3307
97,3.88366445196716,0.3376
98,4.6184994081421,0.3262
99,4.04836415669435,0.3338
100,3.03297990309516,0.3372
101,4.80964532410336,0.336
102,2.47385981198622,0.3361
103,2.37151857430872,0.3314
104,2.46961286510937,0.3296
105,1.4097992988732,0.3352
106,3.95130555837007,0.3362
107,4.15099993164524,0.3261
108,2.57451571201166,0.3372
109,1.54186627873062,0.3364
110,2.83031746855137,0.3408
111,1.87985684429877,0.3333
112,2.39208934444716,0.3351
113,2.87066395761169,0.3383
114,1.73342470997441,0.3318
115,3.21790159543498,0.3406
116,1.44748150284278,0.3354
117,1.75884422012118,0.3336
118,1.09456664316242,0.335
119,4.21099409110788,0.3379
120,4.18054510946536,0.3315
121,3.05344597384792,0.34
122,3.77093080429474,0.3356
123,3.79282405471717,0.3391
124,3.49157636099037,0.3386
125,1.76334181144119,0.3357
126,1.84982866835552,0.3359
127,1.54678157422455,0.3305
128,3.56544554817137,0.3362
129,3.06528621467838,0.3366
130,1.23017400438344,0.3296
131,2.50852155191878,0.3346
132,1.80935863292613,0.3399
133,3.93565158655454,0.3326
134,4.38356363306256,0.3376
135,2.59200038341011,0.3338
136,3.1385281679896,0.3364
137,4.72530519262161,0.34
138,3.13096486194048,0.332
139,1.9636590965245,0.3445
140,4.00245148551268,0.3371
141,2.82226746130992,0.3315
142,2.491581644003,0.3447
