Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
1,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,1,6,10/19/18,1,5.94,4.71,-1.23,BHI1,1.7
2,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,1,6,10/19/18,1,5.95,4.61,-1.34,BHI1,1.7
3,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,1,6,10/19/18,1,5.99,4.92,-1.07,BHI1,1.7
4,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,1,6,10/19/18,1,6,5.05,-0.95,BHI1,1.7
5,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,1,6,10/19/18,1,5.81,3.85,-1.96,BHI1,1.7
6,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,1,6,10/19/18,1,5.81,4.63,-1.18,BHI1,1.7
7,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,1,6,10/19/18,1,5.94,6.48,0.54,BHI1,3.7
8,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,1,6,10/19/18,1,5.95,6.16,0.21,BHI1,3.7
9,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,1,6,10/19/18,1,5.99,6.45,0.46,BHI1,3.7
10,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,1,6,10/19/18,1,6,6.36,0.36,BHI1,3.7
11,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,1,6,10/19/18,1,5.81,6.3,0.49,BHI1,3.7
12,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,1,6,10/19/18,1,5.81,6.2,0.39,BHI1,3.7
13,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,1,6,11/2/18,15,5.94,5.98,0.04,BHI1,5.65
14,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,1,6,11/2/18,15,5.95,6.44,0.49,BHI1,5.44
15,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,1,6,11/2/18,15,5.99,7.7,1.71,BHI1,6.57
16,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,1,6,11/2/18,15,6,8.3,2.3,BHI1,6.1
17,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,1,6,11/2/18,15,5.81,5.29,-0.52,BHI1,3.7
18,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,1,6,11/2/18,15,5.81,5.18,-0.63,BHI1,5.89
19,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,1,6,11/2/18,15,5.94,8.42,2.48,BHI1,5.7
